PMID,Year,Title,Why_in_software_focused_set,DOI,PDF_in_ZIP,PDF_filename,PDF_source,Access_status,Fulltext_or_PDF_source_URL,Retrieval_note,PDF_pages,PDF_size_bytes,SHA256,PubMed_URL
8903165,1995,WHONET: an information system for monitoring antimicrobial resistance,Core WHONET software description,10.3201/eid0102.950209,Yes,PMID_8903165_OBrien_Stelling_1995_WHONET_Information_System.pdf,CDC Stacks / Emerging Infectious Diseases,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,2,26090,6791f4680c5e6bf5de474df055b1f9e166ca544b7662ee59f06f880a44bd22e6,https://pubmed.ncbi.nlm.nih.gov/8903165/
8994799,1997,Surveillance of antimicrobial resistance: the WHONET program,Core WHONET surveillance program,10.1093/clinids/24.Supplement_1.S157,No,,Oxford Academic / Clinical Infectious Diseases,Not bundled - publisher access-controlled; no lawful open repository PDF confirmed in deep re-search,https://doi.org/10.1093/clinids/24.Supplement_1.S157,Oxford Academic displays Get access; no redistributable open repository copy was confirmed.,,,,https://pubmed.ncbi.nlm.nih.gov/8994799/
10444883,1999,An electronic network for the surveillance of antimicrobial resistance in bacterial nosocomial isolates in Greece,WHONET network implementation,,No,,PubMed Central / WHO Bulletin,Public full-text PDF verified; automated PDF transfer blocked by host/runtime,https://pmc.ncbi.nlm.nih.gov/articles/PMC2557702/,PMC explicitly states that the full text is available as a 413 KB PDF (PMCID PMC2557702).,,,,https://pubmed.ncbi.nlm.nih.gov/10444883/
10572473,1999,"[Monitoring antibiotic resistance in Argentina. The WHONET program, 1995-1996]",WHONET national surveillance implementation,10.1590/S1020-49891999000900002,No,,SciELO / Revista Panamericana de Salud Publica,Open/public PDF verified; automated PDF transfer blocked by host/runtime,https://www.scielosp.org/pdf/rpsp/v6n4/0643.pdf,Direct SciELO PDF was located and browser-verified.,,,,https://pubmed.ncbi.nlm.nih.gov/10572473/
17642708,2004,Application of WHONET for the surveillance of antimicrobial resistance,WHONET implementation/use,10.1016/S0255-0857(21)02892-9,No,,ScienceDirect / Indian Journal of Medical Microbiology,Open-access PDF verified; automated PDF transfer blocked by host/runtime,https://www.sciencedirect.com/science/article/pii/S0255085721028929,Publisher marks the article Open access and under a Creative Commons licence; View PDF is available on the journal page.,,,,https://pubmed.ncbi.nlm.nih.gov/17642708/
27408261,2009,WHONET Software for the Surveillance of Antimicrobial Susceptibility,Core WHONET software application,10.1016/S0377-1237(09)80020-8,No,,PubMed Central,Public full-text verified; automated PDF transfer blocked by host/runtime,https://pmc.ncbi.nlm.nih.gov/articles/PMC4921382/,PMCID PMC4921382; PubMed links PubMed Central as a full-text source.,,,,https://pubmed.ncbi.nlm.nih.gov/27408261/
19796449,2010,Automated use of WHONET and SaTScan to detect outbreaks of Shigella spp. using antimicrobial resistance phenotypes,WHONET-SaTScan method/evaluation,,Yes,PMID_19796449_Stelling_2010_WHONET_SaTScan_Shigella.pdf,Cambridge Core / Epidemiology & Infection,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,11,215201,41b2e262acafca6bc0af146f2066f22ccdcee1d997533a7da03491192b81d6a3,https://pubmed.ncbi.nlm.nih.gov/19796449/
20186274,2010,Automated detection of infectious disease outbreaks in hospitals: a retrospective cohort study,WHONET-SaTScan hospital outbreak evaluation,10.1371/journal.pmed.1000238,Yes,PMID_20186274_Huang_2010_Automated_Hospital_Outbreak_Detection.pdf,PLOS Medicine,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,10,228218,0f1ad26f9de46a5f9ba15b82fde00a695444fb3b9a32b4bbeba557d0c17a42f6,https://pubmed.ncbi.nlm.nih.gov/20186274/
23814725,2013,Application of WHONET in the Antimicrobial Resistance Surveillance of Uropathogens: A First User Experience from Nepal,WHONET implementation/use,10.7860/JCDR/2013/5193.2955,Yes,PMID_23814725_Ghosh_2013_WHONET_Nepal.pdf,Journal of Clinical and Diagnostic Research (official PDF),PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,4,103061,ee31838aca601c9170c2501f07db0f13021eed7fee569f88873bffc9f455cfab,https://pubmed.ncbi.nlm.nih.gov/23814725/
24349586,2013,Laboratory-Based Prospective Surveillance for Community Outbreaks of Shigella spp. in Argentina,WHONET-SaTScan prospective surveillance,10.1371/journal.pntd.0002521,Yes,PMID_24349586_Stelling_2013_Shigella_Argentina_WHONET_SaTScan.pdf,PLOS Neglected Tropical Diseases,PDF successfully retrieved and verified; included in ZIP,,PDF passed file/PDF metadata checks and first page rendered successfully.,13,2120529,dc54463d5c315ea5e49d6ea0820126724df5ef8c3f302ee10625e956700a5a3d,https://pubmed.ncbi.nlm.nih.gov/24349586/
